trial_id,trajectory_name,axis,k_index,n_samples,n_raw_samples,n_removed_samples,valid_fraction,passes_valid_fraction_threshold,duration_s,mean_eul_err_norm_deg,rms_eul_err_norm_deg,max_eul_err_norm_deg,median_eul_err_norm_deg,p95_eul_err_norm_deg,mean_error_angle_so3_deg,rms_error_angle_so3_deg,max_error_angle_so3_deg,mean_abs_roll_err_deg,mean_abs_pitch_err_deg,mean_abs_yaw_err_deg,rms_roll_err_deg,rms_pitch_err_deg,rms_yaw_err_deg,dominant_error_component,mean_eul_err_azimuth_deg,mean_eul_err_elevation_deg,n_direction_samples,relative_csv_path,relative_mat_path,source_muse_file,source_robot_file
muse_x_k011_t3_f3_a3,t3_f3_A3,x,11,418,418,0,1,1,3.336,0.943889073181874,1.0670081995945,4.37175534318053,0.881228100725225,1.79569631783469,0.943339650837234,1.06617002641115,4.36937837003824,0.669896653406227,0.170317139446091,0.560828961448948,0.824477735543385,0.222140098417558,0.639841182068012,roll_x,-160.60148885355,36.3168176051792,407,trajectories/t3_f3_a3/x/aligned_quaternions.csv,trajectories/t3_f3_a3/x/aligned_quaternions.mat,t3_f3_A3_wst.txt,t3_f3_A3_wst.mat
muse_x_k012_t4_10,t4_10,x,12,17588,17588,0,1,1,140.696,2.63810501283817,3.03564714049576,8.37449255511111,2.46383218785646,5.29877016733947,2.63259539789275,3.0265658900297,8.33804438805745,1.1062945332708,1.59748314090414,1.28715200575343,1.65719602930349,2.03441432985162,1.52643808146786,pitch_y,-67.5159810458546,-19.6004457310209,16928,trajectories/t4_10/x/aligned_quaternions.csv,trajectories/t4_10/x/aligned_quaternions.mat,t4_10_wst.txt,t4_10_wst.mat
muse_x_k013_t4_110,t4_110,x,13,1482,1482,0,1,1,11.848,3.40832879763684,3.51994121585273,5.23900569960184,3.61800356152112,4.57649821007827,3.40681982239299,3.51746141033781,5.23246608746315,2.17072090337173,1.83072468044512,1.07997309477596,2.34010471377632,2.26361330583393,1.33789046385428,roll_x,-34.1118216696615,-4.65708394514526,1480,trajectories/t4_110/x/aligned_quaternions.csv,trajectories/t4_110/x/aligned_quaternions.mat,t4_110_wst.txt,t4_110_wst.mat
muse_x_k014_t4_130,t4_130,x,14,1374,1374,0,1,1,10.984,5.99460932076465,6.06791317397125,12.0027822560852,5.93257264588465,7.05167823337353,5.99126887564543,6.06383133559977,12.0006237917797,5.43808454357912,1.72083407350882,0.993986713115078,5.55759698960045,2.12747527377614,1.18597426089649,roll_x,-18.0564050810657,-2.17275117844716,1371,trajectories/t4_130/x/aligned_quaternions.csv,trajectories/t4_130/x/aligned_quaternions.mat,t4_130_wst.txt,t4_130_wst.mat
muse_x_k015_t4_150,t4_150,x,15,1094,1094,0,1,1,8.744,3.80971111356561,3.91869079405829,5.54868672641261,3.91190381662181,5.32026064424936,3.80459235588109,3.91191073734574,5.52726172580966,2.88032080867453,1.72125303410151,1.08239714760085,3.03447543279184,2.10954529178036,1.30304069358838,roll_x,-29.1540599084321,-7.09984339804692,1092,trajectories/t4_150/x/aligned_quaternions.csv,trajectories/t4_150/x/aligned_quaternions.mat,t4_150_wst.txt,t4_150_wst.mat
muse_x_k016_t4_30,t4_30,x,16,5972,5972,0,1,1,47.768,5.31298252302996,7.73877644161137,55.612417276866,4.09255151360474,7.01571945685354,5.30648244202603,7.73480714054487,55.6230679583624,4.64992774892154,1.67599135878726,1.12894762938862,7.34608218046516,2.03952380300367,1.32818675948561,roll_x,-21.6521815983732,-6.72616606705076,5961,trajectories/t4_30/x/aligned_quaternions.csv,trajectories/t4_30/x/aligned_quaternions.mat,t4_30_wst.txt,t4_30_wst.mat
muse_x_k017_t4_50,t4_50,x,17,3581,3581,0,1,1,28.64,7.48432148847738,7.51121541437449,13.924979398834,7.5369086177193,8.37268478209609,7.47630721422559,7.50325639525609,13.9248776350371,7.05639295756555,1.67224028527459,1.18649302642303,7.08240636883589,2.08928669960448,1.37577545939211,roll_x,-12.9632209691952,-4.52932181111123,3578,trajectories/t4_50/x/aligned_quaternions.csv,trajectories/t4_50/x/aligned_quaternions.mat,t4_50_wst.txt,t4_50_wst.mat
muse_x_k018_t4_70,t4_70,x,18,2556,2556,0,1,1,20.44,3.07163007303178,4.64959165181064,38.5748816426346,2.9855044021413,3.81864425495002,3.07517423771553,4.6536203421603,38.5856040349534,1.46945773924258,1.77224068656767,1.22414230429196,3.88407985827513,2.1428978521106,1.39305957465875,roll_x,-116.643346941538,-12.8135812473847,1869,trajectories/t4_70/x/aligned_quaternions.csv,trajectories/t4_70/x/aligned_quaternions.mat,t4_70_wst.txt,t4_70_wst.mat
muse_x_k019_t4_90,t4_90,x,19,1833,1833,0,1,1,14.656,3.01187679496361,3.12901473650701,4.16750431148925,3.43784678196972,3.82390540939471,3.00913887375579,3.12534914039435,4.1775123511048,1.6882263170504,1.73691094317329,1.22028774987169,1.76025755976073,2.15665607388695,1.42865710495898,pitch_y,-37.4979595864353,-10.1291688002858,1831,trajectories/t4_90/x/aligned_quaternions.csv,trajectories/t4_90/x/aligned_quaternions.mat,t4_90_wst.txt,t4_90_wst.mat
muse_x_k020_t5,t5,x,20,3445,3445,0,1,1,27.552,0.327790167115339,0.374972294752178,1.42848341395398,0.327534881918459,0.664915644396985,0.32777836239966,0.374967317854617,1.42915795999558,0.147496526300462,0.15080949041003,0.198876701511969,0.219525422210145,0.180068790330446,0.244924563047688,yaw_z,-90.7404470752136,34.2313448154981,3258,trajectories/t5/x/aligned_quaternions.csv,trajectories/t5/x/aligned_quaternions.mat,t5_wst.txt,t5_wst.mat
muse_x_k021_t7y_a1_w1,t7y_a1_w1,x,21,2671,2671,0,1,1,21.36,4.16342460476828,4.76186780418281,13.7569536029938,3.98901935666898,8.3763143461996,4.16693714299122,4.76678969342352,13.7582106058599,3.5616534592325,1.15295590349883,0.92494588886007,4.30599184017489,1.66244439383672,1.17051180868068,roll_x,139.95421843469,3.50828998485004,2644,trajectories/t7y_a1_w1/x/aligned_quaternions.csv,trajectories/t7y_a1_w1/x/aligned_quaternions.mat,t7y_a1_w1_wst.txt,t7y_a1_w1_wst.mat
muse_x_k022_t7y_a1_w3,t7y_a1_w3,x,22,2595,2595,0,1,1,20.752,3.43240502839913,3.8299067311601,10.6180081948944,3.28505993584608,6.60091210261758,3.43094019522569,3.82811972857645,10.6147930701855,2.50830155176939,1.29486030131539,1.2200839095658,3.05927858574913,1.65482185713985,1.60329807749353,roll_x,-149.410611850451,-5.37754520736576,2579,trajectories/t7y_a1_w3/x/aligned_quaternions.csv,trajectories/t7y_a1_w3/x/aligned_quaternions.mat,t7y_a1_w3_wst.txt,t7y_a1_w3_wst.mat
muse_x_k023_t7y_a3_w1,t7y_a3_w1,x,23,1607,1607,0,1,1,12.848,6.24927091600587,7.02118336314642,18.0514793844014,5.79734422555647,12.1512967594167,6.25301412449879,7.02581559568942,18.0543522942022,5.70985939486462,1.54985173497279,0.450729577320154,6.67233511229319,2.09592470497461,0.619725422473999,roll_x,-142.275817408896,0.0435718713644915,1602,trajectories/t7y_a3_w1/x/aligned_quaternions.csv,trajectories/t7y_a3_w1/x/aligned_quaternions.mat,t7y_a3_w1_wst.txt,t7y_a3_w1_wst.mat
muse_x_k024_t7y_a3_w3,t7y_a3_w3,x,24,1659,1659,0,1,1,13.264,4.85237183677426,5.5724784130475,10.8795907584682,4.78912222216052,9.66360139672117,4.84706660254908,5.5678362007999,10.9176592694109,4.02285645081699,1.90277205575526,0.82231878615322,4.83043780986155,2.59607539237241,0.989837757442492,roll_x,-148.681791951416,5.92688563389056,1624,trajectories/t7y_a3_w3/x/aligned_quaternions.csv,trajectories/t7y_a3_w3/x/aligned_quaternions.mat,t7y_a3_w3_wst.txt,t7y_a3_w3_wst.mat
muse_x_k025_t7z_a1_w1,t7z_a1_w1,x,25,2613,2613,0,1,1,20.896,4.94050037014946,5.3768439442759,11.274649032072,5.08764241496106,8.21872921726673,4.93261281272279,5.36579186120056,11.146511067545,4.00979137806504,1.09627905657124,1.79707646972642,4.53666984118697,1.43195718518578,2.50570871670188,roll_x,-41.0084948015431,13.6050543776364,2598,trajectories/t7z_a1_w1/x/aligned_quaternions.csv,trajectories/t7z_a1_w1/x/aligned_quaternions.mat,t7z_a1_w1_wst.txt,t7z_a1_w1_wst.mat
muse_x_k026_t7z_a1_w3,t7z_a1_w3,x,26,2643,2643,0,1,1,21.136,4.43310965290989,4.89745806477059,12.537017016009,4.20485129879728,8.20183493924417,4.43528216130681,4.89857493167543,12.2773810752303,3.08652455262789,1.7668143496922,1.71410680399269,3.80283745995179,2.26840240283558,2.09233680084821,roll_x,-36.7716744349428,8.88958219504045,2623,trajectories/t7z_a1_w3/x/aligned_quaternions.csv,trajectories/t7z_a1_w3/x/aligned_quaternions.mat,t7z_a1_w3_wst.txt,t7z_a1_w3_wst.mat
muse_x_k027_t7z_a3_w1,t7z_a3_w1,x,27,1720,1720,0,1,1,13.752,6.6934396545645,7.24081000704175,12.4692087663978,7.0029561361541,10.8837315258309,6.67655589221704,7.21892223664656,12.3225227864702,4.87741708642191,1.30461015993996,3.25198780439398,5.85954726715102,1.53857961667598,3.96583007014273,roll_x,-58.4942978679681,32.2200761459342,1716,trajectories/t7z_a3_w1/x/aligned_quaternions.csv,trajectories/t7z_a3_w1/x/aligned_quaternions.mat,t7z_a3_w1_wst.txt,t7z_a3_w1_wst.mat
muse_x_k028_t7z_a3_w3,t7z_a3_w3,x,28,1721,1721,0,1,1,13.76,4.08452114419803,4.44040365677423,8.68672483360464,4.25079090855567,6.84719935662613,4.07956137120737,4.43523733373721,8.6955047922382,2.93120931007572,1.310243123015,1.88419437139525,3.50705390119811,1.56230598262132,2.23090958710807,roll_x,-58.9928807265461,25.3202386612108,1715,trajectories/t7z_a3_w3/x/aligned_quaternions.csv,trajectories/t7z_a3_w3/x/aligned_quaternions.mat,t7z_a3_w3_wst.txt,t7z_a3_w3_wst.mat
